"url";"type";"category";"price";"rooms";"bedrooms";"bathrooms";"walkscore";"year_built";"high_schools";"primary_schools";"transit_friendly";"groceries";"restaurants";"pedestrian_friendly";"greenery";"historic";"cycling_friendly";"car_friendly";"vibrant";"shopping";"daycares";"nightlife";"cafes";"quiet";"parks";"lat";"lng";"lot_area_sqft";"lot_area_m2";"parking_driveway";"parking_garage";"parking_carport";"bedrooms_basement";"powder_rooms";"tipology";"neighbourhood"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/24247152?view=summary";"sale";"condo for sale";949000;6;2;2;97;2016;4;3,5;5;5;5;5;1,5;3;2;3,5;4,5;5;5;4,5;5;1,5;5;45,49678712;-73,57171549;NA;NA;NA;1;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/28300569?view=summary";"sale";"condo for sale";259000;7;2;1;11;2004;4,5;4,5;3;0,5;2;1,5;2;0,5;3,5;5;0,5;2;4,5;0,5;3;1;4,5;45,689622;-73,497404;NA;NA;1;NA;NA;0;0;"condo";"Rivière-des-Prairies-Pointe-aux-Trembles"
"https://www.centris.ca/en/duplexes~for-sale~montreal-montreal-nord/26334576?view=summary";"sale";"duplex for sale";588000;0;0;0;57;1963;3;4,5;3,5;4;3;4;2;0;2,5;3,5;2;3,5;4,5;1,5;3;4,5;3,5;45,58770709;-73,6310057;NA;NA;1;1;NA;0;0;"duplex";"Montréal-Nord"
"https://www.centris.ca/en/houses~for-sale~montreal-riviere-des-prairies-pointe-aux-trembles/27963185?view=summary";"sale";"house for sale";639900;11;2;1;43;1980;1;5;2,5;4;2;2,5;3,5;0;2;3,5;1,5;2;4,5;1;1;4;4;45,638229;-73,585288;4831;448,810850984764;2;1;NA;0;1;"house";"Rivière-des-Prairies-Pointe-aux-Trembles"
"https://www.centris.ca/en/condos~for-sale~montreal-le-plateau-mont-royal/22965592?view=summary";"sale";"condo for sale";670000;7;2;2;91;2004;4,5;4,5;4,5;5;4,5;5;2;3;5;2,5;4;4,5;5;5;3;3;5;45,536615;-73,570743;NA;NA;1;NA;NA;0;0;"condo";"Le Plateau-Mont-Royal"
"https://www.centris.ca/en/4plex~for-sale~montreal-saint-laurent/17726089?view=summary";"sale";"quadruplex for sale";1249000;0;0;0;75;1942;3,5;4,5;5;4,5;3;4;3,5;2;1,5;4,5;1,5;3,5;5;0,5;2,5;2,5;4;45,508355;-73,673793;5024;466,740988480119;3;NA;NA;0;0;"quadruplex";"Saint-Laurent"
"https://www.centris.ca/en/condos~for-sale~pointe-claire/16333263?view=summary";"sale";"condo for sale";578387;8;2;2;60;NA;0,5;0,5;2,5;1,5;2,5;2,5;3;0;1;5;1;3,5;5;1,5;2;3,5;3,5;45,464797;-73,836491;NA;NA;NA;1;NA;0;0;"condo";"Pointe-Claire"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/9266772?view=summary";"sale";"condo for sale";852000;5;2;1;83;2015;1;4;4,5;4,5;4,5;5;1,5;4;4,5;3;3,5;5;4,5;3,5;4;3;5;45,49693963;-73,55310551;NA;NA;NA;1;NA;0;1;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos~for-sale~montreal-ville-marie/19808047?view=summary";"sale";"condo for sale";520000;5;1;1;96;2017;4;4;5;5;4,5;5;1,5;3;2;2,5;4;5;4,5;5;5;1;5;45,49682015;-73,57102193;NA;NA;NA;NA;NA;0;0;"condo";"Ville-Marie"
"https://www.centris.ca/en/condos~for-sale~montreal-cote-des-neiges-notre-dame-de-grace/26328431?view=summary";"sale";"condo for sale";689000;7;2;2;71;2021;5;5;4;4;3,5;4;3,5;1;2;3;2,5;4;4,5;2;3;4,5;4,5;45,494364;-73,646684;NA;NA;NA;1;NA;0;0;"condo";"Côte-des-Neiges-Notre-Dame-de-Grâce"
"https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/17286314?view=summary";"sale";"duplex for sale";779000;0;0;0;32;1962;4;5;3,5;3;2,5;3;3,5;1;2,5;4;1,5;2,5;5;1,5;1,5;5;4,5;45,421962;-73,645712;3272;303,976217019695;1;1;NA;0;0;"duplex";"LaSalle"
"https://www.centris.ca/en/houses~for-sale~montreal-cote-des-neiges-notre-dame-de-grace/15543203?view=summary";"sale";"house for sale";2950000;17;6;5;83;1928;4,5;4,5;4,5;4,5;3,5;5;4,5;2,5;2,5;3;2,5;3,5;4,5;2;3;4;4,5;45,47604;-73,624084;4850;450,575994054255;4;NA;NA;2;0;"house";"Côte-des-Neiges-Notre-Dame-de-Grâce"
"https://www.centris.ca/en/duplexes~for-sale~montreal-mercier-hochelaga-maisonneuve/23659607?view=summary";"sale";"duplex for sale";524900;0;0;0;49;1963;3,5;4,5;2,5;2,5;2;3;3;1;3;3,5;1,5;2,5;5;1;1;4,5;4,5;45,592738;-73,513044;2917;270,99591230026;1;1;NA;0;0;"duplex";"Mercier-Hochelaga-Maisonneuve"
"https://www.centris.ca/en/condos~for-sale~montreal-ouest/27098305?view=summary";"sale";"condo for sale";499000;7;2;2;55;2016;4,5;3,5;3,5;3,5;2,5;3;3,5;1,5;1;4;1,5;3;4,5;2;2,5;4,5;4,5;45,45130316;-73,63743317;NA;NA;NA;1;NA;0;0;"condo";"Montréal-Ouest"
"https://www.centris.ca/en/condos~for-sale~cote-saint-luc/10880371?view=summary";"sale";"condo for sale";389000;5;2;2;66;1976;4,5;4,5;3,5;4,5;2,5;3,5;2,5;0;2,5;3;2,5;3,5;4;1;2;2;4;45,476443;-73,660602;NA;NA;NA;1;NA;0;0;"condo";"Côte-Saint-Luc"
"https://www.centris.ca/en/houses~for-sale~montreal-cote-des-neiges-notre-dame-de-grace/17099854?view=summary";"sale";"house for sale";1538000;10;4;3;78;1927;4,5;4,5;4,5;4,5;3,5;5;4;3;3,5;3;2,5;3,5;5;1,5;2,5;4;4,5;45,467606;-73,623762;2399;222,872538089929;1;NA;NA;0;0;"house";"Côte-des-Neiges-Notre-Dame-de-Grâce"
"https://www.centris.ca/en/condos~for-sale~montreal-lasalle/14602537?view=summary";"sale";"condo for sale";349000;6;1;1;35;2008;2;2;3,5;3,5;2,5;2,5;2;0;3;3,5;1,5;3;5;1,5;3;4,5;4,5;45,434665;-73,604306;NA;NA;NA;1;NA;0;0;"condo";"LaSalle"
"https://www.centris.ca/en/condos~for-sale~montreal-mercier-hochelaga-maisonneuve/18074546?view=summary";"sale";"condo for sale";446125;6;2;1;55;NA;4,5;3,5;5;4;3;3;2,5;1,5;3,5;5;1,5;3;4,5;1,5;2;3;4;45,56925;-73,546468;NA;NA;NA;NA;NA;0;0;"condo";"Mercier-Hochelaga-Maisonneuve"
"https://www.centris.ca/en/condos~for-sale~cote-saint-luc/17810767?view=summary";"sale";"condo for sale";595000;5;2;2;62;1988;4,5;4,5;2,5;3,5;2,5;3;3;0;2;3,5;1,5;2,5;3,5;0,5;1,5;5;3,5;45,479706;-73,664521;NA;NA;NA;2;NA;0;0;"condo";"Côte-Saint-Luc"
